,MAE,MSE,RMSE,R2
baseline,40.32657558409348,2765.475551479592,52.587788995921784,0.4034020686826886
Random Forest Regressor with Random Forest (4 features),1.7305855855855852,22.209562612612604,4.7127022622496115,0.9952087158741801
Gradient Boosting Regressor with Random Forest (4 features),1.4776154542495452,11.57741557276504,3.4025601497644447,0.9975023962236741
XGBoost Regressor with Random Forest (5 features),1.681682144083777,12.080793523508646,3.4757435928889584,0.9973938021542296
LightGBM Regressor with Random Forest (4 features),2.8047937032699557,82.53177793287193,9.08470021150241,0.9821953631243105
CatBoost Regressor with Random Forest (4 features),1.4956076317734535,11.512282093427864,3.392975404188463,0.9975164475136995
