Random Forest Regressor with Random Forest (4 features)_train_sizes,Random Forest Regressor with Random Forest (4 features)_train_scores,Random Forest Regressor with Random Forest (4 features)_val_scores,Gradient Boosting Regressor with Random Forest (4 features)_train_sizes,Gradient Boosting Regressor with Random Forest (4 features)_train_scores,Gradient Boosting Regressor with Random Forest (4 features)_val_scores,XGBoost Regressor with Random Forest (4 features)_train_sizes,XGBoost Regressor with Random Forest (4 features)_train_scores,XGBoost Regressor with Random Forest (4 features)_val_scores,LightGBM Regressor with Random Forest (4 features)_train_sizes,LightGBM Regressor with Random Forest (4 features)_train_scores,LightGBM Regressor with Random Forest (4 features)_val_scores,CatBoost Regressor with Random Forest (4 features)_train_sizes,CatBoost Regressor with Random Forest (4 features)_train_scores,CatBoost Regressor with Random Forest (4 features)_val_scores
70,49.42029800000002,1293.1065462476988,70,1.4933962576241883e-07,1392.0699486513754,70,3.229401955021252e-07,1131.8368422659328,70,1761.2808265074243,3999.5622320949988,70,0.11429702740367062,1706.4308102788134
230,42.77864347826086,419.75182117247505,230,0.012057098306415789,311.3422379632396,230,3.3703786067253904e-05,327.037467082884,230,462.80477093211664,1132.8258203044275,230,0.7196059603969445,433.94953132386655
389,24.612164935732654,241.531348075922,389,0.11666088653240755,191.17330598393227,389,0.0011400949638203542,162.09209338523146,389,214.1289262235144,618.2268058252864,389,0.9702638995149957,281.2581971281847
549,17.143352641165755,170.1978659283946,549,0.34229660198404854,120.25399104332242,549,0.00783470487505854,100.73973884679442,549,127.13095480738211,386.52163226112367,549,1.241145999756215,188.7269184509243
709,13.042924344146684,137.65540797244972,709,0.6025420311033518,84.81886201620276,709,0.019424879059151846,80.19628105711516,709,123.49748194315657,256.8342368943715,709,1.5024988690104095,192.5103762165148
