iter	Passed	Remaining
306	564	1273
307	565	1271
308	567	1270
309	569	1268
310	571	1266
311	573	1264
312	574	1262
313	576	1260
314	578	1258
315	580	1256
316	582	1255
317	584	1253
318	586	1251
319	587	1249
320	589	1247
321	591	1245
322	593	1242
323	595	1241
324	596	1239
325	598	1237
326	600	1236
327	602	1234
328	604	1232
329	606	1230
330	608	1229
331	609	1227
332	611	1225
333	614	1224
334	616	1223
335	618	1222
336	621	1221
337	623	1220
338	625	1219
339	627	1218
340	630	1217
341	633	1218
342	635	1217
343	637	1216
344	640	1215
345	642	1214
346	644	1213
347	648	1214
348	651	1214
349	653	1213
350	655	1212
351	657	1211
352	660	1209
353	662	1208
354	664	1207
355	666	1206
356	668	1204
357	670	1202
358	672	1200
359	675	1200
360	677	1198
361	679	1197
362	681	1195
363	682	1193
364	684	1191
365	686	1189
366	688	1187
367	690	1185
368	692	1183
369	694	1181
370	695	1179
371	697	1177
372	699	1175
373	701	1173
374	703	1173
375	705	1171
376	707	1169
377	709	1167
378	711	1165
379	712	1163
380	714	1160
381	716	1159
382	718	1157
383	720	1155
384	721	1153
385	723	1150
386	725	1148
387	727	1146
388	728	1144
389	730	1143
390	732	1141
391	734	1139
392	736	1136
393	738	1135
394	739	1133
395	741	1131
396	743	1129
397	745	1127
398	747	1125
399	749	1123
400	750	1121
401	752	1119
402	754	1117
403	756	1115
404	758	1114
405	760	1112
406	761	1110
407	763	1107
408	765	1105
409	767	1103
410	768	1101
411	770	1100
412	772	1098
413	774	1096
414	776	1094
415	777	1092
416	779	1090
417	781	1087
418	783	1085
419	785	1084
420	786	1082
421	788	1080
422	790	1078
423	792	1076
424	794	1074
425	795	1072
426	797	1070
427	799	1068
428	801	1066
429	803	1064
430	804	1062
431	806	1060
432	808	1058
433	810	1056
434	811	1054
435	814	1053
436	816	1051
437	818	1050
438	820	1048
439	822	1047
440	825	1046
441	828	1045
442	830	1043
443	832	1042
444	834	1040
445	836	1039
446	838	1037
447	840	1035
448	843	1035
449	845	1033
450	847	1032
451	850	1030
452	852	1029
453	855	1029
454	857	1027
455	860	1026
456	862	1024
457	864	1023
458	866	1021
459	869	1020
460	872	1020
461	874	1018
462	876	1016
463	878	1015
464	881	1013
465	883	1012
466	885	1010
467	887	1009
468	890	1008
469	892	1006
470	894	1004
471	895	1002
472	898	1000
473	900	998
474	901	996
475	903	994
476	905	993
477	907	991
478	909	989
479	911	987
480	913	985
481	915	983
482	917	981
483	918	979
484	920	977
485	922	975
486	924	973
487	926	972
488	928	970
489	930	968
490	932	966
491	933	964
492	935	962
493	937	960
494	939	958
495	941	956
496	943	954
497	945	952
498	947	950
499	948	948
500	950	946
501	952	944
502	954	943
503	956	941
504	958	939
505	960	937
506	962	935
507	963	933
508	965	931
509	967	929
510	969	927
511	971	925
512	972	923
513	974	921
514	976	919
515	978	917
516	980	915
517	982	914
518	984	912
519	986	910
520	988	908
521	989	906
522	991	904
523	993	902
524	995	900
525	997	898
526	999	896
527	1000	894
528	1002	892
529	1004	890
530	1006	888
531	1008	886
532	1010	885
533	1012	883
534	1013	881
535	1015	879
536	1017	877
537	1019	875
538	1021	873
539	1022	871
540	1025	869
541	1027	868
542	1029	866
543	1031	864
544	1033	862
545	1035	860
546	1037	859
547	1039	857
548	1041	855
549	1042	853
550	1044	851
551	1046	849
552	1048	847
553	1049	845
554	1052	843
555	1053	841
556	1055	839
557	1057	837
558	1059	835
559	1060	833
560	1062	831
561	1064	829
562	1066	828
563	1068	826
564	1070	824
565	1072	822
566	1073	820
567	1075	817
568	1077	816
569	1079	814
570	1081	812
571	1082	810
572	1084	808
573	1086	806
574	1088	804
575	1090	802
576	1091	800
577	1093	798
578	1095	796
579	1097	794
580	1099	792
581	1101	790
582	1102	788
583	1104	786
584	1106	784
585	1108	783
586	1110	781
587	1112	779
588	1113	777
589	1115	775
590	1117	773
591	1119	771
592	1121	769
593	1122	767
594	1124	765
595	1126	763
596	1128	761
597	1130	759
598	1131	757
599	1133	755
600	1135	753
601	1137	752
602	1139	750
603	1141	748
604	1142	746
605	1144	744
606	1146	742
607	1148	740
608	1150	738
609	1152	736
610	1153	734
611	1155	732
612	1157	730
613	1159	728
614	1160	726
615	1162	724
616	1164	723
617	1166	721
618	1168	719
619	1170	717
620	1171	715
621	1173	713
622	1175	711
623	1177	709
624	1179	707
625	1181	705
626	1182	703
627	1184	701
628	1186	699
629	1188	697
630	1189	695
631	1191	693
632	1193	692
633	1195	690
634	1197	688
635	1198	686
636	1200	684
637	1202	682
638	1204	680
639	1206	678
640	1207	676
641	1209	674
642	1211	672
643	1213	670
644	1215	668
645	1216	666
646	1218	664
647	1220	663
648	1222	661
649	1224	659
650	1226	657
651	1227	655
652	1229	653
653	1231	651
654	1233	649
655	1235	647
656	1236	645
657	1238	643
658	1240	641
659	1242	639
660	1244	638
661	1245	636
662	1247	634
663	1249	632
664	1251	630
665	1253	628
666	1255	626
667	1256	624
668	1258	622
669	1260	620
670	1261	618
671	1264	617
672	1266	615
673	1267	613
674	1269	611
675	1271	609
676	1272	607
677	1274	605
678	1276	603
679	1278	601
680	1280	599
681	1282	597
682	1283	595
683	1285	593
684	1287	592
685	1289	590
686	1291	588
687	1292	586
688	1294	584
689	1296	582
690	1298	580
691	1300	578
692	1301	576
693	1303	574
694	1305	573
695	1307	571
696	1309	569
697	1311	567
698	1312	565
699	1314	563
700	1316	561
701	1318	559
702	1320	557
703	1322	555
704	1323	553
705	1325	552
706	1326	549
707	1328	547
708	1330	546
709	1332	544
710	1334	542
711	1336	540
712	1338	538
713	1341	537
714	1343	535
715	1344	533
716	1346	531
717	1348	529
718	1350	527
719	1352	525
720	1354	524
721	1356	522
722	1358	520
723	1359	518
724	1362	516
725	1364	514
726	1365	512
727	1367	511
728	1369	509
729	1371	507
730	1373	505
731	1375	503
732	1377	501
733	1378	499
734	1380	497
735	1382	495
736	1384	494
737	1386	492
738	1388	490
739	1390	488
740	1392	486
741	1393	484
742	1395	482
743	1397	480
744	1399	478
745	1401	477
746	1403	475
747	1405	473
748	1407	471
749	1408	469
750	1410	467
751	1412	465
752	1414	463
753	1416	462
754	1418	460
755	1420	458
756	1421	456
757	1423	454
758	1425	452
759	1427	450
760	1429	448
761	1431	447
762	1433	445
763	1435	443
764	1437	441
765	1438	439
766	1440	437
767	1442	435
768	1444	433
769	1446	432
770	1448	430
771	1449	428
772	1451	426
773	1453	424
774	1455	422
775	1457	420
776	1459	418
777	1461	417
778	1463	415
779	1465	413
780	1467	411
781	1469	409
782	1471	407
783	1473	405
784	1475	404
785	1476	402
786	1478	400
787	1480	398
788	1482	396
789	1483	394
790	1485	392
791	1487	390
792	1489	388
793	1491	386
794	1493	385
795	1494	383
796	1496	381
797	1498	379
798	1500	377
799	1502	375
800	1504	373
801	1505	371
802	1507	369
803	1509	367
804	1511	366
805	1513	364
806	1514	362
807	1516	360
808	1518	358
809	1520	356
810	1521	354
811	1523	352
812	1525	350
813	1526	348
814	1528	347
815	1530	345
816	1532	343
817	1534	341
818	1535	339
819	1537	337
820	1539	335
821	1541	333
822	1542	331
823	1545	330
824	1547	328
825	1548	326
826	1550	324
827	1552	322
828	1554	320
829	1555	318
830	1557	316
831	1559	314
832	1561	312
833	1562	311
834	1564	309
835	1566	307
836	1568	305
837	1569	303
838	1572	301
839	1573	299
840	1575	297
841	1577	296
842	1579	294
843	1581	292
844	1582	290
845	1584	288
846	1586	286
847	1588	284
848	1590	282
849	1591	280
850	1593	279
851	1595	277
852	1597	275
853	1598	273
854	1601	271
855	1602	269
856	1604	267
857	1606	265
858	1608	263
859	1609	262
860	1611	260
861	1613	258
862	1615	256
863	1617	254
864	1619	252
865	1621	250
866	1622	248
867	1624	247
868	1626	245
869	1628	243
870	1630	241
871	1632	239
872	1634	237
873	1635	235
874	1637	233
875	1639	232
876	1641	230
877	1643	228
878	1644	226
879	1646	224
880	1648	222
881	1650	220
882	1652	218
883	1653	217
884	1656	215
885	1657	213
886	1659	211
887	1661	209
888	1663	207
889	1665	205
890	1667	203
891	1668	202
892	1670	200
893	1672	198
894	1674	196
895	1675	194
896	1677	192
897	1679	190
898	1681	188
899	1683	187
900	1685	185
901	1687	183
902	1688	181
903	1690	179
904	1692	177
905	1694	175
906	1696	173
907	1698	172
908	1699	170
909	1701	168
910	1703	166
911	1705	164
912	1706	162
913	1708	160
914	1710	158
915	1712	157
916	1714	155
917	1715	153
918	1717	151
919	1719	149
920	1720	147
921	1722	145
922	1724	143
923	1726	142
924	1728	140
925	1730	138
926	1731	136
927	1733	134
928	1735	132
929	1736	130
930	1738	128
931	1740	126
932	1742	125
933	1743	123
934	1745	121
935	1747	119
936	1748	117
937	1750	115
938	1752	113
939	1754	111
940	1756	110
941	1757	108
942	1759	106
943	1761	104
944	1762	102
945	1764	100
946	1766	98
947	1768	96
948	1769	95
949	1771	93
950	1773	91
951	1774	89
952	1776	87
953	1778	85
954	1779	83
955	1781	81
956	1783	80
957	1785	78
958	1786	76
959	1788	74
960	1789	72
961	1791	70
962	1793	68
963	1794	67
964	1796	65
965	1798	63
966	1800	61
967	1802	59
968	1803	57
969	1805	55
970	1807	53
971	1809	52
972	1811	50
973	1812	48
974	1814	46
975	1816	44
976	1818	42
977	1819	40
978	1821	39
979	1823	37
980	1826	35
981	1828	33
982	1829	31
983	1831	29
984	1833	27
985	1835	26
986	1836	24
987	1839	22
988	1841	20
989	1842	18
990	1844	16
991	1846	14
992	1848	13
993	1850	11
994	1852	9
995	1854	7
996	1856	5
997	1858	3
998	1860	1
999	1861	0
