iter	RMSE
274	4.12475662
275	4.111922361
276	4.108611553
277	4.103517165
278	4.100144879
279	4.096842517
280	4.079731846
281	4.054320686
282	4.038728456
283	4.035570947
284	4.010916997
285	3.996968622
286	3.982640262
287	3.979607768
288	3.956000094
289	3.942927722
290	3.938407503
291	3.935541516
292	3.920999417
293	3.916308562
294	3.894563288
295	3.891829827
296	3.878250646
297	3.866143376
298	3.860646277
299	3.85624487
300	3.833667133
301	3.831144197
302	3.819876657
303	3.809502027
304	3.798463943
305	3.794161056
306	3.78402093
307	3.780099412
308	3.774737735
309	3.767789601
310	3.765590898
311	3.760989938
312	3.757341586
313	3.734264509
314	3.726356842
315	3.724310567
316	3.712242079
317	3.692149209
318	3.682626153
319	3.674948133
320	3.667801945
321	3.658697514
322	3.655129948
323	3.651814695
324	3.648599626
325	3.640413826
326	3.616530276
327	3.608639233
328	3.605584298
329	3.58756128
330	3.584323991
331	3.567003872
332	3.556586245
333	3.54669007
334	3.536422764
335	3.533523262
336	3.526899144
337	3.520690489
338	3.51564813
339	3.511962072
340	3.509346061
341	3.506586841
342	3.49101898
343	3.485159228
344	3.482134145
345	3.463766439
346	3.456847796
347	3.450189245
348	3.435001221
349	3.428704556
350	3.414310226
351	3.400652774
352	3.391517532
353	3.389137346
354	3.383215992
355	3.37181963
356	3.363285783
357	3.350579334
358	3.347918707
359	3.341815358
360	3.336185542
361	3.331472445
362	3.325825126
363	3.312797913
364	3.300420048
365	3.283211256
366	3.271540635
367	3.260035077
368	3.243631908
369	3.233776405
370	3.227441024
371	3.210021695
372	3.202122516
373	3.19125038
374	3.186135209
375	3.174556618
376	3.16902991
377	3.165945957
378	3.158412883
379	3.147774299
380	3.143201997
381	3.128123715
382	3.125211426
383	3.122651654
384	3.118662944
385	3.110574225
386	3.10856169
387	3.094294144
388	3.086669096
389	3.078181321
390	3.064457794
391	3.054279247
392	3.049908519
393	3.041145878
394	3.017038133
395	3.01467202
396	3.002410178
397	2.995430779
398	2.983197894
399	2.98063323
400	2.958102127
401	2.951890865
402	2.943371588
403	2.941178466
404	2.928962073
405	2.926847552
406	2.914992114
407	2.912682493
408	2.906838218
409	2.895394769
410	2.889558548
411	2.886316501
412	2.884335518
413	2.882132599
414	2.870639174
415	2.867529318
416	2.864545932
417	2.859305388
418	2.85036073
419	2.840167351
420	2.837291495
421	2.8255881
422	2.823808796
423	2.822030624
424	2.809968938
425	2.798244409
426	2.790867867
427	2.789611943
428	2.78790068
429	2.784375439
430	2.774656074
431	2.768002012
432	2.765421521
433	2.76425599
434	2.757103713
435	2.74629311
436	2.744403075
437	2.732776943
438	2.722754688
439	2.714731824
440	2.713204561
441	2.704230944
442	2.702741758
443	2.701295794
444	2.689102025
445	2.676768216
446	2.675355134
447	2.666277752
448	2.660280636
449	2.652260396
450	2.646150105
451	2.636895512
452	2.62917703
453	2.623470555
454	2.607766047
455	2.592912302
456	2.585849242
457	2.574937876
458	2.568729878
459	2.55815205
460	2.555756575
461	2.554426803
462	2.543310008
463	2.536794287
464	2.529360803
465	2.519935608
466	2.514079445
467	2.508434881
468	2.507145984
469	2.504864764
470	2.499358835
471	2.483397346
472	2.479274251
473	2.469759038
474	2.467298113
475	2.45847304
476	2.452973516
477	2.44533261
478	2.430784419
479	2.42356804
480	2.417014965
481	2.413186396
482	2.406978429
483	2.401298141
484	2.394240737
485	2.388386244
486	2.380462209
487	2.376668101
488	2.366548427
489	2.365474398
490	2.364426964
491	2.363405308
492	2.354713141
493	2.353712536
494	2.344332601
495	2.343352439
496	2.341557319
497	2.336913442
498	2.331954512
499	2.325530442
500	2.320507904
501	2.307644072
502	2.30116142
503	2.295196104
504	2.287441516
505	2.274418238
506	2.273385098
507	2.261000822
508	2.252733813
509	2.241446115
510	2.235352431
511	2.234422416
512	2.233513778
513	2.22802209
514	2.223923605
515	2.219589724
516	2.214966938
517	2.210500675
518	2.200200275
519	2.19474556
520	2.189931579
521	2.186238902
522	2.181648139
523	2.177853207
524	2.172443225
525	2.167085177
526	2.155866331
527	2.152226522
528	2.145640545
529	2.139970264
530	2.133664129
531	2.12818002
532	2.12266461
533	2.119718855
534	2.109206751
535	2.105118898
536	2.099901621
537	2.09681314
538	2.091818008
539	2.088795374
540	2.084096759
541	2.077033457
542	2.074152084
543	2.069624912
544	2.063004742
545	2.05887998
546	2.048358193
547	2.045035969
548	2.039871735
549	2.037375989
550	2.033606248
551	2.031234987
552	2.028108591
553	2.018959893
554	2.016627398
555	2.012328265
556	2.007785535
557	2.003306653
558	2.001043144
559	2.000144725
560	1.996545632
561	1.99182763
562	1.983079404
563	1.97834948
564	1.977469379
565	1.973650056
566	1.965077135
567	1.961372818
568	1.955707817
569	1.951519981
570	1.94741242
571	1.937867418
572	1.934243761
573	1.930529915
574	1.921735435
575	1.91857343
576	1.91448696
577	1.911650575
578	1.904153819
579	1.90020143
580	1.896954081
581	1.894283107
582	1.891547182
583	1.887808653
584	1.881280046
585	1.877392784
586	1.870365865
587	1.86778157
588	1.860879432
589	1.857954035
590	1.851534672
591	1.848628929
592	1.842003141
593	1.835716021
594	1.834816178
595	1.831420989
596	1.830606142
597	1.827862634
598	1.827067586
599	1.821055564
600	1.819714231
601	1.817084491
602	1.813731452
603	1.812891869
604	1.811349141
605	1.804644402
606	1.801554908
607	1.800738643
608	1.798466121
609	1.795289928
610	1.790145995
611	1.787969288
612	1.78565958
613	1.782594964
614	1.780884396
615	1.779821114
616	1.778202775
617	1.772683434
618	1.771728213
619	1.770138937
620	1.768145497
621	1.767056532
622	1.764252616
623	1.758438669
624	1.755319987
625	1.750511576
626	1.749441312
627	1.747700006
628	1.743354693
629	1.742327705
630	1.739362038
631	1.737478491
632	1.731673123
633	1.726982251
634	1.725068294
635	1.721417408
636	1.718693563
637	1.715943381
638	1.712865216
639	1.706618459
640	1.703478491
641	1.701893847
642	1.699307494
643	1.696672768
644	1.689820544
645	1.684174824
646	1.681595121
647	1.679759179
648	1.678557284
649	1.673641145
650	1.671467396
651	1.668577022
652	1.66705212
653	1.662974522
654	1.66103878
655	1.659607627
656	1.656257797
657	1.655074236
658	1.652314787
659	1.649877226
660	1.647204347
661	1.645189136
662	1.636791099
663	1.634376284
664	1.632711905
665	1.630998369
666	1.628487656
667	1.62630289
668	1.62411294
669	1.622271964
670	1.619882682
671	1.618391001
672	1.617314041
673	1.6157692
674	1.610635039
675	1.608465274
676	1.606578302
677	1.605607066
678	1.601400174
679	1.600103529
680	1.592544062
681	1.590609363
682	1.588780227
683	1.587269981
684	1.585526202
685	1.584585839
686	1.582914721
687	1.581315502
688	1.579359066
689	1.577756494
690	1.576847609
691	1.575949107
692	1.574255197
693	1.571989518
694	1.570065076
695	1.569206513
696	1.568138707
697	1.56730014
698	1.565983141
699	1.563964076
700	1.561746382
701	1.56092396
702	1.559110234
703	1.557372618
704	1.556478092
705	1.55542581
706	1.55494944
707	1.551557577
708	1.549202554
709	1.547710734
710	1.544458258
711	1.542707533
712	1.540516188
713	1.53974834
714	1.538901429
715	1.537735694
716	1.536944987
717	1.531875517
718	1.531098928
719	1.528462222
720	1.526732644
721	1.522622184
722	1.521862234
723	1.521118108
724	1.517191076
725	1.516459202
726	1.514482602
727	1.512178842
728	1.510002346
729	1.509030581
730	1.507576009
731	1.505087621
732	1.503441387
733	1.501075013
734	1.497337606
735	1.496654213
736	1.495600795
737	1.49312183
738	1.491755449
739	1.489747129
740	1.4890511
741	1.487808344
742	1.48711823
743	1.484840012
744	1.483324082
745	1.48212731
746	1.479188147
747	1.477744401
748	1.477040614
749	1.474866289
750	1.474196192
751	1.470040357
752	1.468056117
753	1.465095947
754	1.463978475
755	1.462637716
756	1.460430406
757	1.459562806
758	1.459087167
759	1.458045141
760	1.455783954
761	1.454724574
762	1.453602187
763	1.451549275
764	1.450086402
765	1.449461266
766	1.448850167
767	1.44825273
768	1.447668594
769	1.445724288
770	1.44515602
771	1.444600276
772	1.443308008
773	1.442746785
774	1.439926182
775	1.438079478
776	1.437369581
777	1.436225965
778	1.435704285
779	1.434674155
780	1.432237852
781	1.431729894
782	1.430645868
783	1.429949962
784	1.42928142
785	1.428173875
786	1.427148176
787	1.425502234
788	1.424823024
789	1.423423366
790	1.42276383
791	1.42076316
792	1.419929533
793	1.41882884
794	1.418180047
795	1.41564871
796	1.414673466
797	1.41332887
798	1.411782558
799	1.411154345
800	1.40967093
801	1.409058827
802	1.408398089
803	1.406232368
804	1.404644948
805	1.404043634
806	1.403454465
807	1.399552402
808	1.397884525
809	1.396430236
810	1.39404941
811	1.392506816
812	1.391866278
813	1.390295824
814	1.388524827
815	1.387600458
816	1.386114949
817	1.384831841
818	1.384262644
819	1.382477019
820	1.381918625
821	1.38039116
822	1.378678701
823	1.376998982
824	1.376523763
825	1.376095703
826	1.374503894
827	1.374084139
828	1.37147943
829	1.367417182
830	1.366449827
831	1.365517639
832	1.362011374
833	1.360775725
834	1.357475053
835	1.35476441
836	1.352139538
837	1.351730359
838	1.351281801
839	1.349518045
840	1.348622296
841	1.345385226
842	1.342220405
843	1.338718971
844	1.337850089
845	1.334090204
846	1.332882624
847	1.332288015
848	1.331444497
849	1.329287936
850	1.328765073
851	1.327858701
852	1.326177987
853	1.323957055
854	1.323393264
855	1.322523483
856	1.320898129
857	1.320517075
858	1.320143823
859	1.318999968
860	1.317089517
861	1.315065533
862	1.31302536
863	1.312176895
864	1.311049912
865	1.308428305
866	1.307371527
867	1.306567933
868	1.306061608
869	1.304775772
870	1.303341391
871	1.30275389
872	1.297570079
873	1.297202413
874	1.296843488
875	1.295116113
876	1.294318884
877	1.293756957
878	1.293407354
879	1.293068097
880	1.292381807
881	1.289105424
882	1.287583062
883	1.285353328
884	1.284130636
885	1.283796099
886	1.283422629
887	1.282647899
888	1.281601743
889	1.281273715
890	1.280482404
891	1.279108325
892	1.278586283
893	1.277159134
894	1.276373218
895	1.27539259
896	1.274361549
897	1.272958814
898	1.270231854
899	1.268152491
900	1.267834664
901	1.267358767
902	1.267050446
903	1.266319546
904	1.265067468
905	1.263231559
906	1.261459244
907	1.25884327
908	1.258378172
909	1.257292974
910	1.256306453
911	1.254988926
912	1.254075893
913	1.252927459
914	1.250156269
915	1.249705793
916	1.248977691
917	1.248038545
918	1.246794781
919	1.242712241
920	1.23945751
921	1.238238938
922	1.236845065
923	1.235719516
924	1.235277206
925	1.234423038
926	1.233080997
927	1.232650198
928	1.231028045
929	1.230501251
930	1.229527277
931	1.228323485
932	1.227448275
933	1.22430931
934	1.22256517
935	1.222144004
936	1.22108458
937	1.220409589
938	1.219410763
939	1.218434878
940	1.217422691
941	1.216287284
942	1.215157281
943	1.214257772
944	1.213396476
945	1.212451822
946	1.211468156
947	1.210907556
948	1.210538341
949	1.208919942
950	1.207410005
951	1.204195272
952	1.203529533
953	1.203119633
954	1.202335863
955	1.201541168
956	1.201145454
957	1.200236823
958	1.199834506
959	1.199021094
960	1.196830117
961	1.194696567
962	1.194137086
963	1.192948276
964	1.192099733
965	1.191629328
966	1.18744256
967	1.187197485
968	1.186309627
969	1.185770622
970	1.185300413
971	1.184435948
972	1.183981454
973	1.1824751
974	1.178499857
975	1.176482593
976	1.175628997
977	1.174592907
978	1.17407147
979	1.173291478
980	1.172458762
981	1.170996492
982	1.170178052
983	1.169479223
984	1.169222239
985	1.16842199
986	1.167627663
987	1.167181526
988	1.166410684
989	1.16477177
990	1.163753149
991	1.163253809
992	1.162510284
993	1.161744449
994	1.160226322
995	1.159332947
996	1.158775676
997	1.158033532
998	1.157617215
999	1.156396904
